RK,NAME,POS,PTS,REB,AST,BLK,STL,3PM,TO,DD2,TD3
66,Dillon Brooks,SF,1181,243,150,27,63,147,124,0,0
67,Kelly Oubre Jr.,SF,1046,361,85,40,71,108,83,9,0
68,Steven Adams,C,684,583,146,67,51,1,94,22,0
69,Danilo Gallinari,SF,1160,322,119,5,42,178,76,3,0
70,Malcolm Brogdon,PG,893,262,381,10,35,75,131,9,0
71,Harrison Barnes,SF,1046,355,159,12,43,102,88,4,0
72,Will Barton,SG,874,365,212,29,61,108,88,7,0
73,Dejounte Murray,PG,720,383,271,17,111,41,125,6,0
74,Bojan Bogdanovic,SF,1275,259,131,7,34,189,159,0,0
75,Paul George,SF,1033,272,185,20,67,157,125,5,0
76,Brook Lopez,C,813,312,99,163,46,102,70,4,0
77,Alec Burks,SG,993,282,189,17,62,116,91,1,0
78,Gordon Hayward,SF,909,348,212,22,38,85,96,8,0
79,D'Angelo Russell,PG,1039,177,285,13,48,158,147,3,0
80,Karl-Anthony Towns,C,926,378,153,42,33,114,110,24,0
81,Marcus Smart,PG,776,225,291,29,101,137,103,3,0
82,Tim Hardaway Jr.,SF,1121,232,137,5,41,204,69,0,0
83,Tristan Thompson,C,684,577,120,50,33,9,103,25,0
84,Myles Turner,C,749,407,72,132,46,86,85,9,0
85,Joe Ingles,SF,707,278,373,11,65,141,142,3,0
86,Kendrick Nunn,PG,1024,180,220,15,56,137,114,0,0
87,John Collins,PF,885,416,60,66,31,59,75,22,0
88,Marcus Morris,PF,1033,311,86,30,47,142,97,3,0
89,Ish Smith,PG,740,219,334,30,59,62,95,1,0
90,Jaren Jackson Jr.,PF,990,262,78,92,40,145,99,3,0
91,Goran Dragic,PG,953,187,301,10,40,124,144,3,0
92,Joe Harris,SF,998,298,144,17,41,172,104,0,0
93,Troy Brown,SF,716,383,178,7,85,61,79,6,0
94,Serge Ibaka,PF,845,452,77,46,28,70,109,20,0
95,Bogdan Bogdanovic,SG,924,207,207,15,64,164,102,2,0
96,Terrence Ross,SG,1016,222,82,24,77,177,70,0,0
97,OG Anunoby,SF,733,364,108,45,96,89,79,5,0
98,Jordan Clarkson,PG,1078,187,136,16,46,152,97,0,0
99,Miles Bridges,SF,843,362,114,48,40,99,95,4,0
100,Tomas Satoransky,PG,644,254,354,7,80,64,130,3,0
101,Carmelo Anthony,PF,895,368,85,27,49,87,100,5,0
102,Derrick White,PG,765,223,241,59,44,79,89,0,0
103,Jae Crowder,PF,684,384,161,24,72,135,69,6,0
104,Ivica Zubac,C,596,543,82,66,16,0,61,10,0
105,Daniel Theis,PF,601,426,111,84,37,32,54,7,0
106,Mitchell Robinson,C,590,428,36,119,52,0,37,8,0
107,Christian Wood,PF,810,390,60,54,34,54,84,12,0
108,Duncan Robinson,PG,983,232,102,19,35,270,70,1,0
109,Derrick Rose,PG,904,121,278,16,40,45,126,4,0
